R1_PWRUSB,119.62,24.74,270.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,60.97,3.41,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,147.52,-5.13,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.53,33.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,149.59,35.93,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,157.80,37.87,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,119.58,35.53,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,63.82,2.13,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,67.01,6.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,32.43,30.61,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,43.41,12.81,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,47.23,12.91,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,49.35,12.91,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,69.15,16.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.95,97.71,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.71,97.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,89.42,45.04,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.59,97.54,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,71.07,16.73,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.49,97.59,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,145.95,-0.08,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,60.86,1.19,0.00,,SJ
TP1,14.51,53.09,0.00,TPTP20R,TP20R
TP10,72.48,-2.69,0.00,TPTP20R,TP20R
TP11,24.19,1.89,0.00,TPTP20R,TP20R
TP12,36.97,8.41,0.00,TPTP20R,TP20R
TP13,49.32,25.31,0.00,TPTP20R,TP20R
TP14,113.97,30.71,0.00,TPTP20R,TP20R
TP15,101.82,42.61,0.00,TPTP20R,TP20R
TP16,73.49,26.39,0.00,TPTP20R,TP20R
TP17,94.64,14.79,0.00,TPTP20R,TP20R
TP2,22.33,52.89,0.00,TPTP20R,TP20R
TP3,142.45,29.19,0.00,TPTP20R,TP20R
TP4,38.97,12.89,0.00,TPTP20R,TP20R
TP5,38.79,17.09,0.00,TPTP20R,TP20R
TP6,42.91,-0.31,0.00,TPTP20R,TP20R
TP7,42.93,2.99,0.00,TPTP20R,TP20R
TP8,42.95,5.89,0.00,TPTP20R,TP20R
TP9,16.97,2.39,0.00,TPTP20R,TP20R
U1,38.49,37.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.90,36.84,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.05,37.90,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.67,38.42,0.00,MAX17048G+T10,SON50P200X200X80-9N
